uid,flight_date,flight_year,flight_month,carrier,carrier_name,airport,airport_name,Latitude,Longitude,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
20,1/3/2013,2013,1,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",-84.4281,33.6367,439,102,40,2,26,0,34,14,0,4920,1797,132,1208,0,1783
13,1/3/2013,2013,1,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",-71.0052,42.36429,855,120,58,8,19,0,35,14,3,5735,2820,487,582,0,1846
15,1/3/2013,2013,1,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",-87.9048,41.9786,3977,700,172,12,253,5,258,65,6,40893,13824,944,9748,497,15880
12,1/3/2013,2013,1,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",-97.038,32.8968,13125,2372,470,98,949,4,851,338,35,129258,34386,9641,35490,191,49550
49,1/3/2013,2013,1,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",-104.672,39.86169,430,87,35,6,14,0,32,2,1,4137,1566,330,381,0,1860
26,1/3/2013,2013,1,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",-95.3414,29.98439,358,47,24,1,9,0,13,9,1,2000,1036,73,299,0,592
2,1/3/2013,2013,1,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",-115.152,36.0801,800,134,43,5,37,0,49,4,1,5972,2043,179,1097,0,2653
3,1/3/2013,2013,1,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",-118.407,33.9425,2452,381,124,16,122,1,119,31,1,20914,8782,867,3449,38,7778
9,1/3/2013,2013,1,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",-80.2906,25.79319,4131,704,219,24,229,4,228,28,1,37003,12616,1219,6926,261,15981
6,1/3/2013,2013,1,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",-73.7789,40.6398,1236,192,66,5,63,0,58,6,5,12107,5364,316,2465,0,3962
46,1/3/2013,2013,1,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",-74.1687,40.6925,298,69,13,2,34,0,20,10,0,4432,858,96,2183,0,1295
28,1/3/2013,2013,1,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",-75.241,39.87189,309,64,16,1,31,0,16,5,1,4523,889,74,2382,0,1178
40,1/3/2013,2013,1,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",-112.012,33.43429,513,95,41,2,26,0,26,7,0,4158,1771,140,713,0,1534
8,1/3/2013,2013,1,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",-122.375,37.61899,883,154,57,9,41,0,46,18,1,7435,3158,516,1613,0,2148
118,1/4/2013,2013,1,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",-84.4281,33.6367,62,11,2,0,8,0,1,0,0,344,106,0,223,0,15
