uid,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2014,4,AA,American Airlines Inc.,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",146,34,15.17,0,12.5,0,0,60,280,0,1127
1,2014,4,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",236,45,22.87,0,12.14,2,0,55,250,0,700
2,2014,4,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",476,93,37.16,0,24.99,0,0,611,860,0,1248
3,2014,4,AA,American Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",438,106,44.75,0,32.08,2,2,400,1057,0,1943
4,2014,4,AA,American Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",222,41,19.22,0,11.15,2,0,271,299,0,562
5,2014,4,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",262,59,25.87,0,15.31,0,0,141,1058,0,817
6,2014,4,AA,American Airlines Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",30,8,3.87,0,0.5,0,1,0,84,0,19
7,2014,4,AA,American Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",60,15,3.56,0,6.34,0,0,21,160,0,502
8,2014,4,AA,American Airlines Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",116,21,11.5,0,7.55,1,1,15,44,0,291
9,2014,4,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",172,27,11.67,0,6.66,1,0,19,233,0,357
10,2014,4,AA,American Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",146,29,11.13,0,10.21,1,2,133,260,0,654
11,2014,4,AA,American Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",90,14,6.44,0,7.21,1,0,0,6,0,323
12,2014,4,AA,American Airlines Inc.,STT,"Charlotte Amalie, VI: Cyril E King",120,18,7.83,0,5.32,0,0,35,128,0,397
13,2014,4,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",202,39,22.69,0,9.96,1,2,47,212,0,567
14,2014,4,AA,American Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",240,55,18.29,0,20.75,1,2,362,393,0,1566
15,2014,4,AA,American Airlines Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",30,3,1.76,0,0.42,0,0,0,22,0,19
16,2014,4,AA,American Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",206,42,19.08,0,14.06,3,0,108,210,0,681
17,2014,4,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",116,28,11.34,0,6.23,1,1,192,288,0,576
18,2014,4,AA,American Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",360,58,14.22,0,24.1,0,2,68,556,0,1112
19,2014,4,AA,American Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",86,15,3.28,0,6.88,0,0,71,162,0,657
20,2014,4,AA,American Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",150,24,9.73,0,9.36,1,0,77,112,0,681
21,2014,4,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",60,13,7.04,0,2.08,0,0,354,72,0,91
22,2014,4,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",176,18,7.9,0,7.23,0,0,19,65,0,347
23,2014,4,AA,American Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",56,7,3.05,0,2.72,1,0,89,10,0,241
24,2014,4,AA,American Airlines Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",86,23,10.63,0,6.69,1,0,43,163,0,373
25,2014,4,AA,American Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",146,26,9.97,0,7.12,1,0,289,169,0,589
26,2014,4,AA,American Airlines Inc.,TUS,"Tucson, AZ: Tucson International",266,57,23.84,0,21.92,0,0,181,321,0,1136
27,2014,4,AA,American Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",86,14,8.17,0,3.44,1,0,52,97,0,207
28,2014,4,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",56,17,3.51,0,8.33,0,0,303,137,0,589
29,2014,4,AA,American Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",60,15,8.21,0,3.12,1,0,8,84,0,121
30,2014,4,AA,American Airlines Inc.,STX,"Christiansted, VI: Henry E. Rohlsen",46,2,1,0,0,0,0,0,16,0,0
31,2014,4,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",86,18,8.03,0,5.27,0,0,41,243,0,417
32,2014,4,AA,American Airlines Inc.,MEM,"Memphis, TN: Memphis International",146,27,11,0,7.67,1,0,125,274,0,511
33,2014,4,AA,American Airlines Inc.,LBB,"Lubbock, TX: Lubbock Preston Smith International",86,19,9.54,0,3.96,2,2,103,248,0,215
34,2014,4,AA,American Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",60,13,4.55,0,3.92,0,0,46,169,0,220
35,2014,4,AA,American Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",120,23,9.67,0,4.59,0,0,65,222,0,353
36,2014,4,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",120,11,1,0,2.17,0,0,0,269,0,65
37,2014,4,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",3908,313,74.62,2.06,117.95,12,4,114,3987,128,7333
38,2014,4,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",603,48,16.97,0,4.31,2,1,0,802,0,88
39,2014,4,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",60,24,1,0,1,0,0,0,2136,0,57
40,2014,4,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",120,12,0.08,0,1.46,0,0,0,387,0,43
41,2014,4,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",58,4,2.95,0,0,0,1,0,93,0,0
42,2014,4,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",146,18,2.64,0,2.09,0,0,0,747,0,92
43,2014,4,AS,Alaska Airlines Inc.,PDX,"Portland, OR: Portland International",1081,72,20.19,0,21.72,2,0,0,833,0,1365
44,2014,4,AS,Alaska Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",30,4,1,0,0,0,0,0,187,0,0
45,2014,4,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",30,3,0.52,0,0,0,0,0,104,0,0
46,2014,4,AS,Alaska Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",60,8,0.35,0,0,0,0,0,186,0,0
47,2014,4,AS,Alaska Airlines Inc.,ADQ,"Kodiak, AK: Kodiak Airport",30,3,1.74,0,0,1,0,90,14,0,0
48,2014,4,AS,Alaska Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",913,71,20.23,0.75,30.11,7,0,14,433,12,2775
49,2014,4,AS,Alaska Airlines Inc.,BET,"Bethel, AK: Bethel Airport",82,10,7.48,0,1.76,0,0,0,26,0,265
50,2014,4,AS,Alaska Airlines Inc.,SCC,"Deadhorse, AK: Deadhorse Airport",77,11,1.51,0,5.27,0,4,187,56,0,806
51,2014,4,AS,Alaska Airlines Inc.,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",77,16,1.8,1.23,7.65,2,1,9,230,27,1070
52,2014,4,AS,Alaska Airlines Inc.,FAI,"Fairbanks, AK: Fairbanks International",150,18,4.54,0,8.58,1,0,241,68,0,1095
53,2014,4,AS,Alaska Airlines Inc.,JNU,"Juneau, AK: Juneau International",300,33,8.93,0,12.92,1,1,0,264,0,569
54,2014,4,AS,Alaska Airlines Inc.,KTN,"Ketchikan, AK: Ketchikan International",180,21,7.22,0,7.41,0,3,15,154,0,288
55,2014,4,AS,Alaska Airlines Inc.,CDV,"Cordova, AK: Merle K Mudhole Smith",60,3,0.17,0,2.66,0,0,0,3,0,75
56,2014,4,AS,Alaska Airlines Inc.,YAK,"Yakutat, AK: Yakutat Airport",60,5,1,0,4,1,0,0,0,0,110
57,2014,4,AS,Alaska Airlines Inc.,SIT,"Sitka, AK: Sitka Rocky Gutierrez",90,16,2.43,0,7.31,0,0,0,178,0,414
58,2014,4,AS,Alaska Airlines Inc.,WRG,"Wrangell, AK: Wrangell Airport",60,4,1.72,0,1.21,1,0,0,25,0,34
59,2014,4,AS,Alaska Airlines Inc.,PSG,"Petersburg, AK: Petersburg James A Johnson",60,3,0,0,0.24,0,0,0,92,0,6
60,2014,4,AS,Alaska Airlines Inc.,OME,"Nome, AK: Nome Airport",60,3,1,0,1.8,0,2,0,35,0,159
61,2014,4,AS,Alaska Airlines Inc.,OTZ,"Kotzebue, AK: Ralph Wien Memorial",60,4,1.32,0,0.83,0,1,0,33,0,15
62,2014,4,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",237,20,7.28,0,3.02,0,0,0,287,0,67
63,2014,4,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",408,55,9.19,0,11.06,0,4,32,1956,0,665
64,2014,4,AS,Alaska Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",331,32,10.87,0,7.26,1,0,0,323,0,746
65,2014,4,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",437,38,9.83,0,5.72,0,1,0,725,0,328
66,2014,4,AS,Alaska Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",185,16,3.77,0,7.33,0,1,0,286,0,523
67,2014,4,AS,Alaska Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",193,26,9.91,0,3.67,0,0,0,282,0,99
68,2014,4,AS,Alaska Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",150,12,2.34,0,5.73,0,0,0,64,0,230
69,2014,4,AS,Alaska Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",274,16,4.79,0,3.65,0,1,0,170,0,84
70,2014,4,AS,Alaska Airlines Inc.,BUR,"Burbank, CA: Bob Hope",86,5,1.44,0,1,0,0,0,235,0,19
71,2014,4,AS,Alaska Airlines Inc.,ONT,"Ontario, CA: Ontario International",81,9,2.69,0,1.8,0,1,0,301,0,139
72,2014,4,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",446,29,12.49,0,5.16,0,2,0,393,0,209
