,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
9,2014,4,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",172.0,27.0,11.67,0.0,6.66,1.0,0.0,19.0,233.0,0.0,357.0
37,2014,4,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",3908.0,313.0,74.62,2.06,117.95,12.0,4.0,114.0,3987.0,128.0,7333.0
38,2014,4,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",603.0,48.0,16.97,0.0,4.31,2.0,1.0,0.0,802.0,0.0,88.0
39,2014,4,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",60.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,2136.0,0.0,57.0
41,2014,4,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",58.0,4.0,2.95,0.0,0.0,0.0,1.0,0.0,93.0,0.0,0.0
42,2014,4,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",146.0,18.0,2.64,0.0,2.09,0.0,0.0,0.0,747.0,0.0,92.0
62,2014,4,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",237.0,20.0,7.28,0.0,3.02,0.0,0.0,0.0,287.0,0.0,67.0
63,2014,4,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",408.0,55.0,9.19,0.0,11.06,0.0,4.0,32.0,1956.0,0.0,665.0
72,2014,4,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",446.0,29.0,12.49,0.0,5.16,0.0,2.0,0.0,393.0,0.0,209.0
75,2014,4,AS,Alaska Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",90.0,5.0,2.53,0.0,1.0,0.0,1.0,0.0,23.0,0.0,33.0
77,2014,4,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",120.0,16.0,7.98,0.0,3.24,0.0,0.0,42.0,69.0,0.0,124.0
81,2014,4,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",30.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.0,46.0
82,2014,4,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",60.0,7.0,1.46,0.0,0.43,0.0,0.0,0.0,153.0,0.0,22.0
90,2014,4,B6,JetBlue Airways,MCO,"Orlando, FL: Orlando International",1551.0,300.0,84.73,0.0,78.58,22.0,4.0,261.0,5796.0,0.0,6655.0
98,2014,4,B6,JetBlue Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",60.0,15.0,7.11,0.0,5.53,1.0,0.0,16.0,88.0,0.0,225.0
101,2014,4,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3523.0,762.0,128.21,0.96,275.08,80.0,13.0,592.0,22319.0,26.0,16910.0
103,2014,4,B6,JetBlue Airways,LAS,"Las Vegas, NV: McCarran International",266.0,51.0,14.25,0.66,13.18,7.0,0.0,14.0,776.0,30.0,868.0
104,2014,4,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",619.0,232.0,23.8,0.38,38.26,21.0,1.0,0.0,12799.0,15.0,2742.0
109,2014,4,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",352.0,77.0,20.48,0.0,19.89,1.0,2.0,119.0,1533.0,0.0,1146.0
115,2014,4,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",253.0,46.0,11.47,0.0,10.0,1.0,0.0,342.0,754.0,0.0,427.0
123,2014,4,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",86.0,14.0,5.46,0.02,4.42,2.0,0.0,0.0,214.0,1.0,267.0
125,2014,4,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",176.0,40.0,9.55,0.0,5.14,2.0,1.0,9.0,998.0,0.0,352.0
131,2014,4,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",82.0,33.0,5.69,0.0,2.62,0.0,1.0,127.0,646.0,0.0,281.0
143,2014,4,B6,JetBlue Airways,CLT,"Charlotte, NC: Charlotte Douglas International",116.0,19.0,2.65,0.0,1.39,2.0,0.0,0.0,519.0,0.0,76.0
146,2014,4,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",146.0,38.0,14.16,0.29,5.25,0.0,0.0,54.0,513.0,9.0,387.0
150,2014,4,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",18711.0,2803.0,599.87,0.0,1064.23,17.0,8.0,6471.0,34632.0,0.0,56791.0
153,2014,4,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1796.0,338.0,92.12,0.0,67.9,1.0,6.0,580.0,5579.0,0.0,4046.0
163,2014,4,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",527.0,87.0,32.93,0.0,20.02,0.0,0.0,353.0,948.0,0.0,915.0
172,2014,4,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",660.0,135.0,47.25,0.0,20.62,0.0,1.0,126.0,2780.0,0.0,896.0
174,2014,4,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",429.0,181.0,17.93,0.0,10.48,0.0,0.0,279.0,8935.0,0.0,645.0
179,2014,4,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",579.0,78.0,36.71,0.0,16.86,0.0,2.0,1031.0,656.0,0.0,786.0
189,2014,4,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1420.0,231.0,88.14,0.0,44.21,0.0,9.0,722.0,3520.0,0.0,2534.0
193,2014,4,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",468.0,77.0,27.25,0.0,14.4,0.0,3.0,120.0,957.0,0.0,506.0
201,2014,4,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",654.0,75.0,20.79,0.0,18.14,0.0,0.0,164.0,1013.0,0.0,1043.0
202,2014,4,DL,Delta Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",942.0,140.0,40.81,0.0,22.47,0.0,5.0,867.0,2264.0,0.0,1256.0
204,2014,4,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",739.0,123.0,58.12,0.0,22.42,0.0,0.0,54.0,1400.0,0.0,1362.0
205,2014,4,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",489.0,106.0,28.31,0.0,12.0,0.0,0.0,135.0,3311.0,0.0,424.0
208,2014,4,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",294.0,50.0,21.08,0.0,14.38,0.0,0.0,121.0,375.0,0.0,511.0
216,2014,4,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",752.0,77.0,28.48,0.0,13.51,0.0,0.0,120.0,881.0,0.0,720.0
237,2014,4,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1853.0,360.0,81.82,0.0,61.69,2.0,12.0,206.0,8247.0,0.0,3887.0
239,2014,4,DL,Delta Air Lines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",174.0,32.0,14.49,0.0,6.68,0.0,0.0,45.0,344.0,0.0,262.0
277,2014,4,EV,ExpressJet Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1382.0,330.0,92.55,0.0,176.1,66.0,6.0,0.0,2802.0,0.0,12863.0
288,2014,4,EV,ExpressJet Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",2943.0,931.0,66.31,0.0,277.94,402.0,9.0,491.0,52924.0,0.0,20892.0
290,2014,4,EV,ExpressJet Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",6368.0,1119.0,164.93,0.0,517.3,128.0,22.0,2323.0,18318.0,0.0,31387.0
293,2014,4,EV,ExpressJet Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4528.0,1111.0,171.08,0.0,448.36,150.0,27.0,840.0,30993.0,0.0,33754.0
306,2014,4,EV,ExpressJet Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",529.0,131.0,31.81,0.0,55.46,18.0,3.0,133.0,2260.0,0.0,3554.0
322,2014,4,EV,ExpressJet Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",6395.0,1319.0,285.85,4.21,647.31,87.0,9.0,1247.0,13830.0,234.0,42074.0
327,2014,4,EV,ExpressJet Airlines Inc.,DEN,"Denver, CO: Denver International",1487.0,274.0,53.94,0.0,131.68,46.0,4.0,302.0,5289.0,0.0,9170.0
373,2014,4,EV,ExpressJet Airlines Inc.,MIA,"Miami, FL: Miami International",12.0,3.0,0.97,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0
375,2014,4,EV,ExpressJet Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",182.0,41.0,16.05,0.0,10.78,3.0,2.0,39.0,401.0,0.0,610.0
424,2014,4,EV,ExpressJet Airlines Inc.,MCO,"Orlando, FL: Orlando International",31.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,130.0
434,2014,4,EV,ExpressJet Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",120.0,43.0,9.73,0.0,12.77,5.0,1.0,11.0,1094.0,0.0,814.0
439,2014,4,EV,ExpressJet Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",16.0,3.0,0.57,0.0,0.73,0.0,0.0,0.0,103.0,0.0,21.0
443,2014,4,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",2710.0,495.0,94.85,0.0,158.44,4.0,3.0,865.0,10889.0,0.0,11964.0
444,2014,4,F9,Frontier Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",175.0,32.0,6.38,0.0,12.06,0.0,0.0,20.0,746.0,0.0,902.0
446,2014,4,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",137.0,26.0,7.54,0.0,5.78,0.0,0.0,0.0,533.0,0.0,271.0
447,2014,4,F9,Frontier Airlines Inc.,MCO,"Orlando, FL: Orlando International",131.0,26.0,7.05,0.0,6.01,1.0,1.0,0.0,416.0,0.0,382.0
449,2014,4,F9,Frontier Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",104.0,30.0,9.35,0.0,8.64,0.0,0.0,5.0,562.0,0.0,831.0
450,2014,4,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",64.0,16.0,1.61,0.0,6.67,0.0,0.0,0.0,366.0,0.0,360.0
