airport_name,carrier_ct
"Atlanta, GA: Hartsfield-Jackson Atlanta International",43358.11000000001
"Los Angeles, CA: Los Angeles International",33847.04000000002
"Chicago, IL: Chicago O'Hare International",32224.65999999997
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",30180.44999999999
"Denver, CO: Denver International",29436.039999999994
"San Francisco, CA: San Francisco International",23534.850000000013
"Orlando, FL: Orlando International",23469.930000000004
"Phoenix, AZ: Phoenix Sky Harbor International",23457.78
"Las Vegas, NV: McCarran International",22475.01000000001
"Charlotte, NC: Charlotte Douglas International",18966.49999999999
