airport_name,nas_delay
"San Francisco, CA: San Francisco International",4487939.0
"Newark, NJ: Newark Liberty International",4175811.0
"Chicago, IL: Chicago O'Hare International",3969376.0
"Los Angeles, CA: Los Angeles International",2443733.0
"Atlanta, GA: Hartsfield-Jackson Atlanta International",2423092.0
"New York, NY: John F. Kennedy International",2188470.0
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1863070.0
"Denver, CO: Denver International",1436387.0
"Houston, TX: George Bush Intercontinental/Houston",1404012.0
"Seattle, WA: Seattle/Tacoma International",1150833.0
