flight_year,carrier,airport,uid,flight_month,Latitude,Longitude,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2013,AA,ATL,28845,78,-1013.1371999999998,403.64040000000006,4836,997,358,44,219,0,375,143,8,917.0,18493,3024,11765,0,21731
2013,AA,BOS,28460,78,-852.0624000000003,508.37147999999996,11407,2427,732,120,859,3,714,179,23,2171.0,36946,7797,38768,115,46639
2013,AA,DCA,28519,78,-924.4512,466.22520000000003,10696,2143,669,110,712,0,655,214,38,1800.0,33040,6970,30790,48,37132
2013,AA,DEN,28756,78,-1256.064,478.34028000000006,4886,1203,463,57,289,0,393,92,24,1037.0,21815,3441,12719,0,24227
2013,AA,DFW,28430,78,-1164.456,394.7615999999999,155204,26862,5564,935,8032,27,12306,3689,701,28728.0,508593,77007,321038,1256,815782
2013,AA,EWR,28665,78,-890.0243999999998,488.31,3487,922,206,21,465,0,231,99,16,957.0,11005,1617,27040,6,17751
2013,AA,IAH,28819,78,-1144.0968,359.81268000000006,4772,1077,397,47,312,1,320,83,16,920.0,19725,3644,12909,25,18879
2013,AA,JFK,28408,78,-885.3468000000001,487.6775999999999,13780,2611,606,63,1279,3,659,164,57,2801.0,44758,4412,62935,154,55811
2013,AA,LAS,28512,78,-1381.8240000000003,432.96120000000013,9868,2376,760,94,751,3,768,111,12,2097.0,40223,6754,28801,303,49738
2013,AA,LAX,28400,78,-1420.884,407.31,30716,5996,1718,274,2062,12,1930,282,48,5564.0,108080,18410,73542,1618,132174
2013,AA,MIA,28467,78,-963.4872000000001,309.51828,47621,7840,2126,349,2500,13,2851,323,121,7775.0,154527,20866,87692,1320,202079
2013,AA,ORD,28490,78,-1054.8576,503.7432000000001,51537,10224,2038,242,3879,11,4055,871,173,11611.0,159165,21160,220844,728,294781
2013,AA,PHL,28800,78,-902.8919999999999,478.46268000000003,3862,971,248,37,375,1,308,91,15,998.0,12648,2366,24166,39,20652
2013,AA,PHX,28645,78,-1344.1439999999996,401.21148000000017,5161,1301,485,77,293,1,446,81,10,1097.0,23418,5387,10056,15,26961
2013,AA,SFO,28497,78,-1468.5,451.42788,10813,3061,761,124,1439,1,735,172,27,3084.0,44088,8277,83436,42,49217
2013,AS,ATL,29740,78,-1013.1371999999998,403.64040000000006,728,69,31,0,32,1,4,0,1,55.0,1988,16,1113,20,184
2013,AS,BOS,29631,78,-852.0624000000003,508.37147999999996,1334,172,43,3,115,0,11,4,2,102.0,2001,145,3612,0,367
2013,AS,DCA,29582,78,-924.4512,466.22520000000003,1456,166,32,4,108,3,20,0,5,137.0,2032,149,4497,338,1196
2013,AS,DEN,29658,78,-1256.064,478.34028000000006,1555,167,43,2,112,1,9,2,3,98.0,1572,79,3848,23,365
2013,AS,DFW,29716,78,-1164.456,394.7615999999999,992,104,26,4,64,0,9,3,4,59.0,1104,303,1761,0,395
2013,AS,EWR,29691,78,-890.0243999999998,488.31,714,150,22,6,113,1,8,2,0,146.0,933,308,7255,39,207
2013,AS,IAH,29749,78,-1144.0968,359.81268000000006,365,61,17,4,32,0,8,0,0,41.0,1166,137,935,0,236
2013,AS,LAS,29626,78,-1381.8240000000003,432.96120000000013,4659,475,156,12,215,4,89,4,2,372.0,8264,1108,8343,137,4484
2013,AS,LAX,29496,78,-1420.884,407.31,6428,788,215,10,447,5,112,4,6,512.0,12007,749,12517,440,5006
2013,AS,ORD,29579,78,-1054.8576,503.7432000000001,1628,239,46,7,172,0,17,5,4,222.0,1858,218,10703,0,570
2013,AS,PHL,29756,78,-902.8919999999999,478.46268000000003,365,74,12,2,59,1,0,0,0,75.0,732,85,3643,17,0
2013,AS,PHX,29610,78,-1344.1439999999996,401.21148000000017,2436,282,113,4,125,1,39,2,1,174.0,5349,102,3272,71,1647
2013,AS,SFO,29562,78,-1468.5,451.42788,4214,871,126,36,617,2,89,5,31,894.0,8402,2914,36186,144,5991
2013,DL,ATL,30026,78,-1013.1371999999998,403.64040000000006,210912,32650,7824,870,13855,18,10084,694,344,33988.0,771655,81930,567575,1835,616266
2013,DL,BOS,30232,78,-852.0624000000003,508.37147999999996,10400,1643,612,48,632,1,353,57,11,1507.0,37909,3265,27710,22,21491
2013,DL,DCA,30324,78,-924.4512,466.22520000000003,9555,1468,588,39,530,0,313,76,30,1505.0,37792,4361,29624,0,18501
2013,DL,DEN,30393,78,-1256.064,478.34028000000006,7202,1343,491,38,565,0,250,8,20,1236.0,29913,3061,25737,0,15470
2013,DL,DFW,30499,78,-1164.456,394.7615999999999,5558,797,331,30,254,0,185,28,17,651.0,15622,2491,11001,0,9940
2013,DL,EWR,30412,78,-890.0243999999998,488.31,4345,1031,223,36,676,0,95,39,14,1178.0,14474,4657,44867,0,6657
2013,DL,IAH,30410,78,-1144.0968,359.81268000000006,2681,416,174,22,106,0,112,2,3,361.0,9503,2327,3718,0,6119
2013,DL,JFK,30143,78,-885.3468000000001,487.6775999999999,20698,3518,839,86,2044,3,547,112,42,3311.0,67050,7521,90018,547,33532
2013,DL,LAS,30191,78,-1381.8240000000003,432.96120000000013,13103,1777,625,61,705,2,381,30,17,1583.0,40304,4383,27971,400,21899
2013,DL,LAX,30212,78,-1420.884,407.31,21540,3113,1135,100,1259,8,613,40,30,2764.0,76315,7058,43390,871,38202
2013,DL,MIA,30283,78,-963.4872000000001,309.51828,8387,1407,511,43,515,2,336,23,18,1223.0,29341,3691,18700,46,21592
2013,DL,ORD,30500,78,-1054.8576,503.7432000000001,6339,1232,402,37,583,0,212,34,17,1265.0,26334,3652,33921,0,12012
2013,DL,PHL,30388,78,-902.8919999999999,478.46268000000003,6612,1441,425,56,730,1,232,35,11,1538.0,28096,4899,43485,20,15779
2013,DL,PHX,30254,78,-1344.1439999999996,401.21148000000017,7269,999,405,34,354,1,202,6,3,882.0,25327,3267,12527,30,11760
2013,DL,SFO,30246,78,-1468.5,451.42788,8555,1524,451,48,837,0,186,27,17,1511.0,31881,3494,43016,0,12265
2013,UA,ATL,32174,78,-1013.1371999999998,403.64040000000006,540,149,55,7,32,0,53,8,0,174.0,2955,795,1765,0,4924
2013,UA,BOS,31800,78,-852.0624000000003,508.37147999999996,12671,2686,880,87,896,4,821,129,15,2721.0,49143,6783,44268,162,62907
2013,UA,DCA,31787,78,-924.4512,466.22520000000003,7021,1253,394,53,396,1,411,162,12,1251.0,20222,4051,21348,22,29446
2013,UA,DEN,31677,78,-1256.064,478.34028000000006,43913,7891,2502,219,2748,10,2410,332,114,7613.0,145170,17428,112706,376,181100
2013,UA,DFW,31939,78,-1164.456,394.7615999999999,3519,723,249,19,236,1,220,40,15,725.0,13121,1645,11244,20,17448
2013,UA,EWR,31638,78,-890.0243999999998,488.31,46074,9484,2017,206,4789,10,2463,561,168,9615.0,124236,17290,252753,577,182037
2013,UA,IAH,31645,78,-1144.0968,359.81268000000006,63819,10204,3397,328,3138,12,3327,466,127,9852.0,202845,21865,115230,478,250701
2013,UA,JFK,31930,78,-885.3468000000001,487.6775999999999,4536,933,248,4,525,3,154,38,23,986.0,15089,275,28433,464,14902
2013,UA,LAS,31742,78,-1381.8240000000003,432.96120000000013,13159,2279,808,58,636,1,777,62,15,2263.0,42865,4163,32246,36,56449
2013,UA,LAX,31677,78,-1420.884,407.31,32435,6692,2359,177,2293,7,1852,262,46,6329.0,125425,13175,88777,271,152080
2013,UA,MIA,31907,78,-963.4872000000001,309.51828,3087,605,241,24,198,2,141,16,7,542.0,11888,1595,7823,175,11022
2013,UA,ORD,31665,78,-1054.8576,503.7432000000001,58307,12113,3172,245,5349,15,3332,966,130,12165.0,179394,20255,275697,870,253703
2013,UA,PHL,31984,78,-902.8919999999999,478.46268000000003,4111,1049,269,30,447,1,301,35,11,1163.0,14601,2309,30224,58,22568
2013,UA,PHX,31851,78,-1344.1439999999996,401.21148000000017,5981,1186,464,44,298,3,378,35,6,1096.0,23862,3373,11714,70,26745
2013,UA,SFO,31677,78,-1468.5,451.42788,50103,11234,2746,241,5650,10,2588,524,119,11633.0,162264,20082,302796,523,212318
2013,WN,ATL,32859,78,-1013.1371999999998,403.64040000000006,9994,2368,754,78,640,8,892,33,29,1772.0,32342,6609,23538,176,43656
